,Year_Birth,Year_Birth,Year_Birth,Year_Birth,Year_Birth,Year_Birth,Year_Birth,Year_Birth,Income,Income,Income,Income,Income,Income,Income,Income,Kidhome,Kidhome,Kidhome,Kidhome,Kidhome,Kidhome,Kidhome,Kidhome,Teenhome,Teenhome,Teenhome,Teenhome,Teenhome,Teenhome,Teenhome,Teenhome,Recency,Recency,Recency,Recency,Recency,Recency,Recency,Recency,MntWines,MntWines,MntWines,MntWines,MntWines,MntWines,MntWines,MntWines,MntFruits,MntFruits,MntFruits,MntFruits,MntFruits,MntFruits,MntFruits,MntFruits,MntMeatProducts,MntMeatProducts,MntMeatProducts,MntMeatProducts,MntMeatProducts,MntMeatProducts,MntMeatProducts,MntMeatProducts,MntFishProducts,MntFishProducts,MntFishProducts,MntFishProducts,MntFishProducts,MntFishProducts,MntFishProducts,MntFishProducts,MntSweetProducts,MntSweetProducts,MntSweetProducts,MntSweetProducts,MntSweetProducts,MntSweetProducts,MntSweetProducts,MntSweetProducts,MntGoldProds,MntGoldProds,MntGoldProds,MntGoldProds,MntGoldProds,MntGoldProds,MntGoldProds,MntGoldProds,NumDealsPurchases,NumDealsPurchases,NumDealsPurchases,NumDealsPurchases,NumDealsPurchases,NumDealsPurchases,NumDealsPurchases,NumDealsPurchases,NumWebPurchases,NumWebPurchases,NumWebPurchases,NumWebPurchases,NumWebPurchases,NumWebPurchases,NumWebPurchases,NumWebPurchases,NumCatalogPurchases,NumCatalogPurchases,NumCatalogPurchases,NumCatalogPurchases,NumCatalogPurchases,NumCatalogPurchases,NumCatalogPurchases,NumCatalogPurchases,NumStorePurchases,NumStorePurchases,NumStorePurchases,NumStorePurchases,NumStorePurchases,NumStorePurchases,NumStorePurchases,NumStorePurchases,NumWebVisitsMonth,NumWebVisitsMonth,NumWebVisitsMonth,NumWebVisitsMonth,NumWebVisitsMonth,NumWebVisitsMonth,NumWebVisitsMonth,NumWebVisitsMonth
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1906.0,1968.7345225603358,11.728147007908934,1920.0,1959.0,1970.0,1977.0,1996.0,1906.0,50856.124754006916,25100.368181349935,1730.0,34560.0,50567.0,65937.5,666666.0,1906.0,0.46222455403987406,0.5449747365335156,0.0,0.0,0.0,1.0,2.0,1906.0,0.5414480587618048,0.5456704337189937,0.0,0.0,1.0,1.0,2.0,1906.0,51.51469045120672,28.519092363217215,0.0,27.0,52.0,77.0,99.0,1906.0,269.104407135362,305.1591884587075,0.0,21.25,152.0,443.75,1493.0,1906.0,24.216684155299056,38.19176306629825,0.0,1.0,7.0,28.0,199.0,1906.0,144.6243441762854,205.29993554074545,0.0,14.0,56.0,192.75,1725.0,1906.0,34.9800629590766,52.87025292449901,0.0,2.0,11.0,43.0,259.0,1906.0,25.035152151101784,40.00106720889899,0.0,1.0,7.0,30.0,263.0,1906.0,40.968520461699896,50.57603154186505,0.0,7.0,21.0,53.0,362.0,1906.0,2.323189926547744,1.8999813516485846,0.0,1.0,2.0,3.0,15.0,1906.0,3.911857292759706,2.7802445204104345,0.0,2.0,3.0,6.0,27.0,1906.0,2.3919202518363063,2.799722105808428,0.0,0.0,1.0,4.0,28.0,1906.0,5.736621196222456,3.277520976026834,0.0,3.0,5.0,8.0,13.0,1906.0,5.320566631689402,2.4013484606395954,0.0,4.0,6.0,7.0,20.0
1,334.0,1969.4161676646706,12.398192338284215,1943.0,1959.0,1971.0,1979.0,1996.0,334.0,60185.836081897585,23163.326662795385,7500.0,39786.75,64044.0,80477.0,105471.0,334.0,0.3413173652694611,0.48734686625225176,0.0,0.0,0.0,1.0,2.0,334.0,0.30538922155688625,0.49274099879702343,0.0,0.0,0.0,1.0,2.0,334.0,35.383233532934135,27.65949902311253,0.0,11.0,30.0,56.0,99.0,334.0,502.70359281437123,427.18378592125885,1.0,96.0,448.0,875.5,1492.0,334.0,38.203592814371255,46.099518790314576,0.0,4.0,21.0,53.75,193.0,334.0,294.3532934131737,286.8900361235271,1.0,47.75,174.5,509.75,981.0,334.0,52.050898203592816,61.85588536870492,0.0,4.0,25.0,84.25,250.0,334.0,38.634730538922156,46.32790288760337,0.0,3.0,20.0,57.0,198.0,334.0,61.446107784431135,57.507501271772206,0.0,20.0,39.5,84.75,245.0,334.0,2.3353293413173652,2.1099244352440216,0.0,1.0,1.0,3.0,11.0,334.0,5.07185628742515,2.5587836409173828,0.0,3.0,5.0,7.0,11.0,334.0,4.203592814371257,3.1318166199842343,0.0,1.0,4.0,6.0,11.0,334.0,6.095808383233533,3.081931325630973,2.0,4.0,6.0,8.0,13.0,334.0,5.293413173652695,2.569891217116772,1.0,3.0,6.0,8.0,10.0
